name,description,min_weight,max_weight,family_score,children_score,other_dog_score,shedding_score,grooming_score,drooling_score,stranger_score,playfulness_score,protective_score,adaptability_score,trainability_score,energy_score,barking_score,mental_stim_score
Broholmer,"Calm, good-natured, yet watchful and confident, the Broholmer hails from Denmark and makes a great family companion. A large, mastiff-type dog, the Broholmer is rectangular and strongly built with a wide, massive head. Around the year 1800, a Danish dog book described him as a very ordinary breed, especially around Copenhagen. His nickname was the butchers dog, as he was often seen lying at the doorsteps of butcher shops. He was a protector of the home and a herder and guard dog of cattle at the farm and in the citys markets. Today, his size is the only thing that keeps intruders at bay. The Broholmer has a heart of gold, loves to snuggle, and always wants to be near you, though his preference is to sit on you. He is an excellent dog with children and other dogs, though because he seems to underestimate his size, supervision is recommended. This breed is also remarkably agile for his size and can do agility, fetch balls, and jump and catch frisbees. Anything you do, camping, hiking, picnicking, walks in the park, he will be more than happy to go along with you.   Club Contact Details Club: Broholmer Club of the USA Kathy Kimmeth amberdogs@new.rr.com (920) 410-0142 (text only)",90,150,3,3,3,3,1,3,3,3,4,3,3,2,1,3
Brussels Griffon,"Tipping the scales at no more than 12 pounds, this humanlike toy of complex character has enough personality for 10 ordinary dogs. A sensitive companion for discerning grownups, the Brussels Griffon is smart, devoted, and comically self-important.With this breed, you get a big personality in a 5-to-15-pound package. One look into his big, human-like eyes, and youll be smitten. Griffs come in four colors red, black-and-reddish-brown (called belge), black and tan, and black and in smooth coats (like a Pug) or rough coats (like a Schnauzer). Their black muzzle and whiskers earned them the nickname bearded dogs in old folk songs. The Griffs big black eyes described as almost human coupled with a fringed beard and mustache covering his short muzzle, gives him the air of a worldly, French-speaking philosopher. Griffs come in four colors: red, black-and-reddish-brown (called belge), black and tan, and black and in smooth coats or rough coats. The Griffs body is thickset and sturdy, and he moves with the purposeful trot of a fellow who knows what he wants.  Griffs are alert, sociable, and easily trained. Although playful and energetic, their small size and sensitive nature make them a poor choice as roughhousing playmates for kids. They have a low threshold for loneliness and will stick close to their special human, providing years of love and laughter.",8,10,4,3,3,3,3,1,4,4,3,4,4,3,4,3
Bull Terrier,"Among the most comical and mischievous citizens of dogdom, the Bull Terrier is playful and endearing, sometimes stubborn, but always devoted. These unique eggheads are exuberant, muscular companions who thrive on affection and exercise. Bull Terriers are robust, big-boned terriers who move with a jaunty stride suggesting agility and power. The breeds hallmark is a long, egg-shaped head with erect and pointed ears, and small, triangular eyes that glisten with good humor. Coats come in two types: white; and any other color (including an attractive brindle striping), either solid or with white markings. A well-made BT is the picture of muscular determination and balance. There are four keys to BT happiness: early socialization with dogs and people; firm but loving training; ample exercise; and lots of quality time with his adored humans. If these requirements are met, there is no more loyal, lovable, and entertaining companion. This is the ultimate personality breed.",50,70,4,3,1,3,2,1,4,4,3,3,3,4,3,4
Bulldog,"Kind but courageous, friendly but dignified, the Bulldog is a thick-set, low-slung, well-muscled bruiser whose sourmug face is the universal symbol of courage and tenacity. These docile, loyal companions adapt well to town or country. You cant mistake a Bulldog for any other breed. The loose skin of the head, furrowed brow, pushed-in nose, small ears, undershot jaw with hanging chops on either side, and the distinctive rolling gait all practically scream Im a Bulldog! The coat, seen in a variety of colors and patterns, is short, smooth, and glossy. Bulldogs can weigh up to 50 pounds, but that wont stop them from curling up in your lap, or at least trying to. But dont mistake their easygoing ways for lazinessBulldogs enjoy brisk walks and need regular moderate exercise, along with a careful diet, to stay trim. Summer afternoons are best spent in an air-conditioned room as a Bulldogs short snout can cause labored breathing in hot and humid weather.",40,50,4,3,3,3,3,3,4,4,3,3,4,3,2,3
Bullmastiff,"Fearless at work, docile at home, the Bullmastiff is a large, muscular guarder who pursued and held poachers in Merry Old Englandmerry, we suppose, for everyone but poachers. Bullmastiffs are the result of Bulldog and Mastiff crosses. The Bullmastiff isnt quite as large as his close cousin the Mastiff. Still, standing as high as 27 inches at the shoulder and weighing between 100 and 130 pounds, this is still a whole lot of dog. After the first impression made by the Bullmastiffs size, it is the large, broad head that conveys the breeds essence: the dark eyes, high-set V-shaped ears, and broad, deep muzzle all combine to present the intelligence, alertness, and confidence that make the Bullmastiff a world-class protector and family companion. Coats come in fawn, red, or brindle. These are biddable and reliable creatures, but as with any large guarding dog, owners must begin training and socialization early, while the puppy is still small enough to control.",100,130,4,3,3,3,1,3,3,3,5,3,4,4,1,4
Cairn Terrier,"Cairn Terriers are happy, busy little earthdogs originally bred to fearlessly root out foxes and other small, furred prey in the rocky Scottish countryside. Curious and alert, Cairns like having a place where they can explore and dig. The Cairns unique qualities, called Cairnishness, include a short, wide head and a free-moving, short-legged body that exudes strength but not heaviness, topping out at about 10 inches high and about 15 inches long. The double coat is harsh and wiry on top and downy beneath. A Cairn presents as a small, shaggy, alert dog, with head, tail, and ears up, and eyes shining with intelligence. A British breed club promotes Cairns as the best little pal in the world. Cairns are small enough for a lap-top snuggle and sturdy enough for a good romp on the lawn. They do best with lots of close family contact. For owners who cherish the terrier qualities of gameness, independent thinking, and true-blue loyalty, no other breed will do.",13,14,4,3,3,2,2,1,3,4,4,3,3,3,4,3
Canaan Dog,"One of the AKCs oldest breeds, the Canaan Dog is the national dog of Israel. This quick, medium-sized pasture dog is docile with family, aloof with strangers. The ever-alert Canaan is a vocal and persistent guardian of flock and home. Canaan Dogs are lean, bushy-tailed dogs standing 19 to 24 inches at the shoulder. The coat is straight and harsh, and comes in various colors and patterns. Erect, expressive ears and dark almond eyes convey an inquisitive expression. Canaans move at a brisk, natural trot. They are rugged, agile, and apparently tireless, making them a nice fit for hikers and runners. Canaans are clever, confident, and territorial. They will end up owning passive owners who havent establish themselves as top dog in the family pack. Early training and socialization are key. When positive methods are applied, these ancient wonder-dogs train beautifully. Agility, obedience, herding trials, and sentry duty are a few outlets for their work ethic.",35,55,3,3,3,4,2,1,3,3,4,3,4,3,5,3
Cane Corso,"Smart, trainable, and of noble bearing, the assertive and confident Cane Corso is a peerless protector. The Corsos lineage goes back to ancient Roman times, and the breeds name roughly translates from the Latin as bodyguard dog. At nearly 28 inches at the shoulder and often weighing more than 100 pounds, with a large head, alert expression, and muscles rippling beneath their short, stiff coat, Corsi are at a glance intimidating creatures. Their imposing appearance is their first line of defense against intruders. As one writer put it, An understated air of cool competence, the kind of demeanor youd expect from a professional bodyguard, is the breeds trademark. Corsi are intelligent, loyal, eager to please, versatile, and intensely loyal to their humans, but are also assertive and willful, and can end up owning an unwitting owner. As with any other big guardian dog, responsible breeding and early socialization with people and other dogs is vital.",99,110,4,3,3,2,1,3,3,3,5,3,4,4,3,3
Cardigan Welsh Corgi,"The Cardigan Welsh Corgi is a masterpiece of the breeders art: Every aspect of its makeup is perfectly suited to moving cattle, and yet it is so congenial and sweet-faced that it would be a cherished companion even if it never did a days work. Long, low-set dogs with sturdy bone, short legs, and a deep chest, Cardigans are powerful workers of deceptive speed and grace. Cardis can weigh anywhere from 25 to 34 pounds, with females at the lower end of the scale. They come in several coat colors, from red to the popular blue-merle pattern. The quickest way to distinguish Cardis from their cousins, Pembroke Welsh Corgis, is to check out the hindquarters: Cardigans have tails; Pembrokes do not. Cardis are trainable, faithful, and vigilant guardians with a big dog bark. Well-socialized Cardis are especially fond of kids and agreeable with other pets. These athletic, rugged herders have a love for the outdoors, and they thrive on mental stimulation and physical activity.",25,38,4,4,3,3,2,1,4,4,3,3,4,4,5,4
Carolina Dog,"Carolina Dogs are generally shy and suspicious in nature, but once a dog accepts a human into its pack, those behaviors disappear toward that human. A sighthound of medium build, they have the general appearance of a jackal or wolf.Carolina dogs are descended from the canines that accompanied the Paleo-Indians who traveled from Asia to North America over the Bering land bridge. Today, they can still be found living wild near the Georgia-South Carolina border, but have also been seen as far north as Ohio and Pennsylvania and as far west as Arizona; rural areas are the common denominator. The typical Carolina dog has pointed ears, a fox-like snout and a tail that curves like a fishhook when it is raised. They look similar to Australian Dingoes but, taxonomically, they fall under canis familiaris. Hesitant with strangers, they will sound the alarm when unaware of whos at the door, but once they see their people, they are ecstatic. Carolina Dogs have an extreme pack mentality, as this was a necessity for survival in the wild.",30,55,3,3,3,3,1,2,3,3,3,3,3,3,3,3
Catahoula Leopard Dog,"The Catahoula Leopard Dog is a multi-purpose working dog that is well-muscled and powerful, but with a sense of agility and endurance. They are serious while working and playful at home. The Catahoula Leopard Dog is a medium-large, short-coated dog, known for its many varied coat and eye colors and patterns. The word is of Choctaw origin and is translated to mean sacred lake. Catahoulas are the only breed of dog to have historically originated in the state of Louisiana. The breed requires firm guidance and early socialization, as they can be independent, territorial, and protective. For the same reasons, they do not allow mistreatment and will assert themselves in self-defense. Once they know their place in the family unit, they are affectionate, loyal, and gentle. Also called the Catahoula Hog Dog, they are used as stock dogs, bay dogs, tree dogs, watchdogs, guard dogs, and of course as loyal companions.",50,95,4,3,3,3,2,2,3,3,4,3,4,5,1,4
Caucasian Shepherd Dog,"The Caucasian Shepherd dog is a serious guardian breed and should never be taken lightly. The Caucasian is bold, fearless, self-confident and fierce when a threat is present, but he is soft, devoted, kind and endearing to his family, including other family pets. Caucasian Shepherd dogs were used for centuries to protect properties from trespassers, guard livestock from large and small predators such as wolves and coyotes, and for many other duties. In modern days, especially in the West, theyre most commonly companions and watchdogs. There is a great variety of types among the Caucasian dogs depending on their home region. For almost a century, there has been two breed types and standards: The Mountain type, which is long-coated and has a heavier body mass than the Steppe type, a shorter-coated dog with a lighter body mass. Other names for the breed include Caucasian Ovcharka, Caucasian Sheepdog, Kawkasky Owtscharka, and Kaukasische Schaferhund.  ",99,170,3,3,2,4,3,4,2,2,5,3,3,3,2,3
Cavalier King Charles Spaniel,"The Cavalier King Charles Spaniel wears his connection to British history in his breeds name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel. The Cavaliers all-around beauty, regal grace, and even temper mark him as one of dogdoms noblemen. A toy spaniel no more than 13 inches high, the Cavalier draws you in with his face: The sweet, gentle, melting expression emanating from large, round eyes is a breed hallmark. Another is the silky, richly colored coat that can be one of four distinct varieties (described in this pages History section). Cavaliers may be aristocrats, but they gladly descend from their royal high horse for a backyard frolic or a squirrel chase. They get along nicely with children and other dogs. Adaptable Cavaliers do equally well with active owners and homebodiesthey can be upbeat athletes or shameless couch potatoes, depending on an owners lifestyle.",13,18,5,5,5,2,2,2,4,3,3,3,4,3,3,3
Central Asian Shepherd Dog,"The Central Asian Shepherd Dog is self-assured, balanced, quiet, proud and independent. They are very courageous and have a high working capacity, endurance and a natural instinct of territory. This breed is known for its fearlessness towards large predators. Central Asian Shepherd Dogs are a natural protective breed that require a non-stop observance for the life of the dog. They are not for first-time dog owners. They were formed as a breed from natural selection during more than four thousand years in a vast territory, which spreads nowadays from the Caspian Sea to China and from Southern Ural to Afghanistan.",88,110,3,3,3,3,1,3,1,3,5,4,4,3,3,3
Cesky Terrier,"The Cesky Terrier, national dog of the Czech Republic, is a clever and adventurous playmate for kids and an eager walking buddy for the folks. They are tenacious at work, but a little more laid back and tractable than the usual terrier. Ceskys are muscular, short-legged, and handsome hunters standing no taller than 13 inches at the shoulder. The fine, silky coat comes in several shades of gray, including a stunning platinum. Wavy facial hair gives Ceskys a sporty, Continental look, and the medium-long neck lends a dash of elegance to these game, unspoiled working terriers. While Ceskys are as determined and prey-driven as any other earthdog, theyre mellower than a typical terrier. Wary of strangers and protective of loved ones, theyre good watchdogs without being particularly yappy. They train well and want to please. Heres the catch: They are a scarce breed, with only about 600 living in America. A wonderful family dog, if youre lucky enough to find one.",14,24,4,5,3,2,2,1,4,3,3,4,3,3,3,3
Chesapeake Bay Retriever,"The Chesapeake Bay Retriever, peerless duck dog of the Mid-Atlantic, is an American original who embodies the classic traits of a good retriever: loyal, upbeat, affectionate, and tireless. The Chessie is famous for his waterproof coat. Chessies are strong, powerfully built gundogs standing anywhere from 21 to 26 inches at the shoulder. A male can weigh up to 80 pounds. The distinctive breed trait is a wavy coat that is oily to the touch. Chessies are solid-colored, either chocolatey brown, sedge, or deadgrass, with keen yellow-amber eyes that nicely complement the coat. Chessies are more emotionally complex than the usual gundog. Chessies take to training, but they have a mind of their own and can tenaciously pursue their own path. They are protective of their humans and polite, but not overtly friendly, to strangers. Chessies make excellent watchdogs and are versatile athletes. A well-socialized Chessie is a confident companion and world-class hunting buddy.",55,80,4,3,3,3,3,2,3,3,4,4,5,4,3,4
Chihuahua,"The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing purse dogs stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times. The Chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. The rounded apple head is a breed hallmark. The erect ears and full, luminous eyes are acutely expressive. Coats come in many colors and patterns, and can be long or short. The varieties are identical except for coat. Chihuahuas possess loyalty, charm, and big-dog attitude. Even tiny dogs require training, and without it this clever scamp will rule your household like a little Napoleon. Compact and confident, Chihuahuas are ideal city pets. They are too small for roughhousing with kids, and special care must be taken in cold weather, but Chihuahuas are adaptableas long as they get lots of quality time in their preferred lap.",3,6,4,1,3,2,1,1,2,4,4,4,3,4,5,3
Chinese Crested,"With their spotted pink skin, spiky crested hairdo, furry socks and feathery tail, you cant mistake the sweet and slender Chinese Crested for any other breed. This frolicsome, ultra-affectionate companion dog is truly a breed apart. The Chinese Crested, a lively and alert toy breed standing between 11 and 13 inches high, can be hairless or coated. The hairless variety has smooth, soft skin and tufts of hair on the head, tail, and ankles. The coated variety, called the powderpuff, is covered by a soft, silky coat. Besides the coat, theres very little difference between the powderpuff and his undressed brother. Both varieties are characterized by fine-boned elegance and graceful movement. Cresteds are as fun as they look: playful, loving, and devoted to their humans. The hairless has its advantages: there is no doggy odor, and for obvious reasons shedding isnt much of a problem. Both varieties are attentive housemates, totally in tune with their family.",8,12,4,3,3,1,2,1,4,3,3,4,4,3,3,3
Chinese Shar-Pei,"This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog. The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad hippopotamus muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tailall blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: sand skin.) Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essentiala dominant adult Shar-Pei without them is a serious problem waiting to happen.",45,60,4,3,3,3,1,3,3,3,4,4,3,3,3,3
Chinook,"The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds. Tawny-coated, no-frills Chinooks are muscular and substantial, with males standing as high as 26 inches at the shoulder. Females, with their distinctly feminine look, are a bit smaller. Chinooks were conceived as dual-purpose haulers, with the power of freighting dogs and the speed of sled racers. They are the picture of stouthearted dignity, with a kindly twinkle in their dark, almond eyes. Chinooks are calm, people-oriented dogs with a special feel for children. They are trainable workers who aim to please. Sledding, carting, obedience, agility, search-and-rescue work, and herding are a few pursuits theyve mastered. Chinooks are not particularly busy dogs, but they need consistent exercise to stay in proper hard condition.",50,90,4,5,5,3,3,1,3,3,4,4,4,3,5,3
Chow Chow,"The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights. Chows are powerful, compactly built dogs standing as high as 20 inches at the shoulder. Their distinctive traits include a lions-mane ruff around the head and shoulders; a blue-black tongue; deep-set almond eyes that add to a scowling, snobbish expression; and a stiff-legged gait. Chows can have rough or smooth coats of red, black, blue, cinnamon, or cream. Owners say Chows are the cleanest of dogs: They housebreak easily, have little doggy odor, and are known to be as fastidious as cats. Well-socialized Chows are never fierce or intractable, but always refined and dignified. They are aloof with strangers and eternally loyal to loved ones. Serene and adaptable, with no special exercise needs, Chows happily take to city life.",45,70,4,3,2,3,3,3,2,3,5,3,3,3,1,3
Cirneco dellEtna,"The sleek and sinewy Cirneco dellEtna, the ancient coursing hound of Sicily, is an athletic hunter given to quick bursts of speed. As housedogs, Cirnechi are mild, low-maintenance companions cherished for their loyal and gentle nature. Standing under 20 inches, the Cirneco (cheer-NEK-o; Cirnechi is the plural) is often described as resembling a smaller version of the Pharaoh Hound, its cousin from the island of Malta. This slender but rugged hunters coat ranges from light to dark tan or chestnut. The large, upright ears point up the alert expression of the eyes, whose amber or ochre color smartly complements the coat. In many ways, these lithe and leggy Sicilians are typical sighthounds: sweet-natured, independent and, of course, breathtakingly swift. It is said, though, that Cirnechi are a bit more trainable than the usual sighthound. These living artifacts of antiquity have sprinted into the 21st century relatively unchanged by passing fads and fancies.",17,26,4,3,4,1,1,1,3,4,3,4,4,3,2,3
Clumber Spaniel,"A dignified and mellow hunting companion of kings, the Clumber Spaniel is the largest of the AKC flushing spaniels. For those who can handle some shedding and drooling, the amiable Clumber is an amusing best friend and a gentlemanly housemate. Clumber Spaniels are powerful bird dogs of heavy bone, built long and low, with a massive head. They stand 17 to 20 inches; a small female might be 55 pounds, and a large male could go 85 pounds. Built to push through thick cover in the field, Clumber movement is nonetheless free and easy. The dense coat is primarily white, with sparse lemon or orange markings. Clumbers are sweet and easygoing at home, but these outdoorsy fellows can be relentless on scent. Smart and eager-to-please Clumbers respond well to training. Though a bit wary around strangers, Clumbers are friendly dogs who bark only when they have something to say, and so make indifferent watchdogs. They love swimming and fetching, and are sturdy childhood playmates.",55,85,4,3,3,3,2,4,4,3,3,4,4,3,1,3
Cocker Spaniel,"The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the worlds best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions. Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touchedno wonder the Cocker spent years as Americas most popular breed. The Cocker is the AKCs smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait. Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks.",20,30,4,5,5,3,4,2,4,3,3,4,4,4,3,3
Collie,"The majestic Collie, thanks to a hundred years as a pop-culture star, is among the worlds most recognizable and beloved dog breeds. The full-coated rough Collie is the more familiar variety, but there is also a sleek smooth Collie. The Collie is a large but lithe herder standing anywhere from 22 to 26 inches tall. The rough variety boasts one of the canine kingdoms most impressively showy coats; the smooth coats charms are subtler but no less satisfying. Coat colors in both varieties are sable and white, tricolor, blue merle, or white. Collie fanciers take pride in their breeds elegant wedge-shaped head, whose mobile ears and almond eyes convey a wide variety of expressions. Collies are famously fond of children and make wonderful family pets. These swift, athletic dogs thrive on companionship and regular exercise. With gentle training, they learn happily and rapidly. The Collies loyalty, intelligence, and sterling character are the stuff of legend.",50,75,4,5,3,3,3,2,3,4,3,4,4,3,5,3
Coton de Tulear,"The Coton de Tulear, Royal Dog of Madagascar, is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy. The Coton de Tulear (KO-Tone Dih TOO-Lay-ARE) is a small, immensely charming dog standing between 9 and 11 inches high and weighing anywhere from 8 to 13 pounds. Cotons are known for a profuse white coat that is as soft as cotton (or, as the French say, coton). Their primary job is to provide amusement, comfort, and companionship. The bond between Cotons and their people is so tight that owners discuss it in human terms. Coton fanciers describe them as witty companions at times boisterous but never demanding and naturally clownish and lighthearted, who possess a remarkably gentle, sympathetic awareness. Amusing traits of these long-lived jesters include unique vocalizations and a knack for walking on their hind legs.",8,15,5,5,5,2,4,1,5,4,3,4,4,3,1,3
Croatian Sheepdog,"The Croatian Sheepdog is an agile, helpful and humble shepherd dog, self-reliant to his owner, brave and trustworthy. He is the true master of his flock, often running through the back of the herd to get to the point of intervention as soon as possible.Petar Horvat, the bishop of Djakovo, wrote in 1374 that Croats had brought a shepherd dog along on the move to their new land. He referred to the dog as Canis Pastoralis Croaticusthe Croatian Shepherd Dog. The bishop of Djakovo, Peter Bakic also wrote about the Croatian Sheepdog in his 1719 manuscript On the Life of the People and Raising of Stock in Djakovo and its Surroundings in 1719. He quoted the words written by Bishop Petar in 1374 and, providing his own description of the dog, stated that the Croatian Sheepdog had not changed since the record (from 1374 to 1719) and had not changed in appearance from that described by Bishop Petar in 1374. A systematic selection breeding program was started by the father of the breed - veterinarian Prof Dr Stjepan Romic in 1935 with dogs in the territory of Djakovo. After 34 years of work, the breed was recognized by the FCI in 1969.",29,44,3,3,3,2,1,3,2,3,5,2,3,3,3,3
Curly-Coated Retriever,"The Curly-Coated Retriever, among the oldest of the retriever breeds, is a famously versatile gundog and peerless swimmer. Poised, proud, and wickedly smart, the Curly is a thinking persons retriever who will never quit before you do. The Curly-Coated Retrievers tight, crisp curls of either black or liver serve as waterproof and thorn-resistant all-weather gear for work in thick bramble and icy lakes. The Curly is a big, durable gun dog, but more elegant and graceful than other retrievers. Another trait that sets Curlies apart from the usual retriever is a tapered, wedge-shaped head. Like Labradors and Goldens, Curlies are affectionate and gentle, but they are a bit more independent and less needy. Playful and mischievous with loved ones, Curlies can be aloof with strangers. This wariness makes them more discerning watchdogs than other, more gregarious retrievers. These tireless dogs need lots of outdoor exercise. Bored, underemployed Curlies are a handful.",60,95,5,5,3,2,1,1,3,4,4,4,4,4,3,3
Czechoslovakian Vlcak,"An alert, primitive canine that resembles a wolf in appearance. They are highly intelligent, powerful, active, loyal and devoted to its owner. They have superior eyesight, hearing and sense of smell and are known for having excellent stamina and endurance. The Czechoslovakian Vlcak (CSV) was originally bred for working border patrol in Czechoslovakia in the 1950s. They are currently used in Europe and the United States for search and rescue, tracking, obedience, agility, drafting, herding, and working dog sports. The CSV is bred for versatility and hardiness in harsh elements and is much more independent in nature than many other working breeds. They are an excellent choice for tracking or trailing sport/work, or as a companion for active owners who enjoy spending time doing outdoor activities such as biking, running, or hiking. They are not, however, recommended for first time owners. Club Contact Details Czechoslovakian Vlcak Club of America Stacy McCrary, President vlcaksusa@gmail.com",44,57,3,1,1,5,2,3,3,3,5,2,3,3,3,3
Dachshund,"The famously long, low silhouette, ever-alert expression, and bold, vivacious personality of the Dachshund have made him a superstar of the canine kingdom. Dachshunds come in two sizes and in three coat types of various colors and patterns. The word icon is terribly overworked, but the Dachshundwith his unmistakable long-backed body, little legs, and big personalityis truly an icon of purebred dogdom. Dachshunds can be standard-sized (usually 16 to 32 pounds) or miniature (11 pounds or under), and come in one of three coat types: smooth, wirehaired, or longhaired. Dachshunds arent built for distance running, leaping, or strenuous swimming, but otherwise these tireless hounds are game for anything. Smart and vigilant, with a big-dog bark, they make fine watchdogs. Bred to be an independent hunter of dangerous prey, they can be brave to the point of rashness, and a bit stubborn, but their endearing nature and unique look has won millions of hearts the world over.",11,32,5,3,4,2,2,2,4,4,4,4,4,3,5,3
Dalmatian,"The dignified Dalmatian, dogdoms citizen of the world, is famed for his spotted coat and unique job description. During their long history, these coach dogs have accompanied the horse-drawn rigs of nobles, gypsies, and firefighters. The Dalmatians delightful, eye-catching spots of black or liver adorn one of the most distinctive coats in the animal kingdom. Beneath the spots is a graceful, elegantly proportioned trotting dog standing between 19 and 23 inches at the shoulder. Dals are muscular, built to go the distance; the powerful hindquarters provide the drive behind the smooth, effortless gait. The Dal was originally bred to guard horses and coaches, and some of the old protective instinct remains. Reserved and dignified, Dals can be aloof with strangers and are dependable watchdogs. With their preferred humans, Dals are bright, loyal, and loving house dogs. They are strong, active athletes with great staminaa wonderful partner for runners and hikers.",45,70,5,3,3,4,2,2,4,4,4,4,4,4,3,4
Dandie Dinmont Terrier,"The unique-looking Dandie Dinmont Terrier is a tough but dignified little exterminator. Sturdily built for the rigors of farm life, they will agreeably adapt to city living. Dandies are compact companions blessed with a big personality. Physical hallmarks of the Dandie Dinmont Terrier include a large head covered with profuse, silky white hair; long, hanging ears tipped with feathering and coming almost to a point; big, round eyes full of brightness and expression; and a long, low torso and short legs. The crisp body coat comes in two spicy colors: pepper (bluish black to silvery gray) and mustard (reddish brown to pale fawn). Weighing no more than 24 pounds, Dandies are alert and intelligent watchdogs with a big baritone bark. Dandies enjoy romping and cuddling with kids, but arent as hyper as some small dogs. They are terriers, though, with typical willfulness, independence, and courage. Dandie owners get best results with positive, motivational training.",18,24,4,3,3,2,3,1,4,3,4,3,4,3,3,3
Danish-Swedish Farmdog,"Known as the Little Big Dog, the Danish-Swedish Farmdog is a companion dog that loves to work and enjoys a challenge. They are a small, compact and slightly rectangular dog, known to mature late. This breed entered the American Kennel Club Foundation Stock Services Program (AKC FSS) in 2011. They are eligible to compete in Agility, Barn Hunt, Flyball, Herding, Lure Coursing, Nosework, Obedience and Rally, Tracking and AKC FSS Open Shows.   Club Contact Details Danish/Swedish Farmdog Club of America, Inc Brita Lemmon Puppies@farmdogs.org or cs@dsfca.org",15,20,5,5,5,2,1,1,5,4,4,4,4,4,3,4
Deutscher Wachtelhund,"The Deutscher Wachtelhund has a scenting and blood tracking ability comparable to a Bloodhound and can track 40-hour-old wounded game. On a fresh game trail, it must vocalize to inform hunters of its location. They are a versatile breed, virtually unknown to the German non-hunting public, and are only owned by hunters, gamekeepers, and professional hunters in Germany.The Deutscher Wachtelhund is a medium-sized, long-haired, very muscular gun dog with a noble head and strong bone. Their keen hunting desire and ability make them an ideal dog for hunters and because of their innate love of water, they are often used to hunt waterfowl. The Deutscher Wachtelhunds name, German quail dog, relates to its ability as an upland bird flusher and is also known as the German Spaniel.           ",40,55,4,5,3,2,2,2,3,3,3,3,4,3,3,3
Doberman Pinscher,"Sleek and powerful, possessing both a magnificent physique and keen intelligence, the Doberman Pinscher is one of dogkinds noblemen. This incomparably fearless and vigilant breed stands proudly among the worlds finest protection dogs. Dobermans are compactly built dogsmuscular, fast, and powerfulstanding between 24 to 28 inches at the shoulder. The body is sleek but substantial, and is covered with a glistening coat of black, blue, red, or fawn, with rust markings. These elegant qualities, combined with a noble wedge-shaped head and an easy, athletic way of moving, have earned Dobermans a reputation as royalty in the canine kingdom. A well-conditioned Doberman on patrol will deter all but the most foolish intruder.",60,100,5,5,3,4,1,2,4,4,5,4,5,5,3,4
Dogo Argentino,"The Dogo Argentino is a pack-hunting dog, bred for the pursuit of big-game such as wild boar and puma, and possesses the strength, intelligence and quick responsiveness of a serious athlete. His short, plain and smooth coat is completely white, but a dark patch near the eye is permitted as long as it doesnt cover more than 10% of the head. The ideal Dogo Argentino is a study in harmony. He is large, powerful, and athletic. His strong head is supported by a thick, but elegant neck that connects to a balanced body, which is sustained by straight, substantial forelegs and very muscular, medium-angulated hindquarters. The Dogo gives the impression of explosive power and energy. Developed to find, chase and catch dangerous game the Dogo must have a good nose, great lung capacity, and a powerful, yet agile, muscular build. His expression is alert and intelligent, with a marked hardness. The Dogo is instantly identifiable by his short, completely white coat.",80,100,5,3,3,4,1,3,4,4,5,4,5,5,3,4
